state,pollster,number.of.observations,start.date,end.date,obama,mccain,other,undecided,mode,population
AK,SurveyUSA,600,3/3/08,3/6/08,43,48,6.3,2.7,Live Phone,Registered Voters
AK,Rasmussen,500,5/14/08,5/17/08,41,50,6.3,2.7,Live Phone,Registered Voters
AK,Rasmussen,500,6/15/08,6/18/08,41,45,9.8,4.2,Live Phone,Registered Voters
AK,Research 2000,600,7/13/08,7/16/08,41,51,5.6,2.4,Live Phone,Registered Voters
AK,Rasmussen,500,7/18/08,7/21/08,40,45,10.5,4.5,Live Phone,Registered Voters
AK,Rasmussen,500,7/29/08,8/1/08,39,44,11.9,5.1,Live Phone,Registered Voters
AK,Anchorage Press,500,8/30/08,9/2/08,35,54,7.7,3.3,Live Phone,Registered Voters
AK,Rasmussen,500,9/7/08,9/10/08,33,64,2.1,0.9,Live Phone,Registered Voters
AK,American Research,600,9/14/08,9/17/08,39,55,4.2,1.8,Live Phone,Registered Voters
AK,Fairleigh-Dickinson,601,9/22/08,9/25/08,37,55,5.6,2.4,Live Phone,Registered Voters
AK,Rasmussen,500,10/4/08,10/7/08,40,55,3.5,1.5,Live Phone,Registered Voters
AK,Anchorage Press,500,10/19/08,10/22/08,42,53,3.5,1.5,Live Phone,Registered Voters
AK,Rasmussen,500,10/26/08,10/29/08,41,57,1.4,0.6,Live Phone,Registered Voters
AL,SurveyUSA,537,1/15/08,1/18/08,29,63,5.6,2.4,Live Phone,Registered Voters
AL,SurveyUSA,554,2/19/08,2/22/08,34,58,5.6,2.4,Live Phone,Registered Voters
AL,SurveyUSA,544,3/17/08,3/20/08,35,62,2.1,0.9,Live Phone,Registered Voters
AL,Rasmussen,500,3/30/08,4/2/08,37,55,5.6,2.4,Live Phone,Registered Voters
AL,SurveyUSA,540,4/14/08,4/17/08,32,64,2.8,1.2,Live Phone,Registered Voters
AL,Rasmussen,500,5/26/08,5/29/08,32,60,5.6,2.4,Live Phone,Registered Voters
AL,Rasmussen,500,6/17/08,6/20/08,36,51,9.1,3.9,Live Phone,Registered Voters
AL,Rasmussen,500,8/1/08,8/4/08,37,55,5.6,2.4,Live Phone,Registered Voters
AL,American Research,600,9/14/08,9/17/08,36,58,4.2,1.8,Live Phone,Registered Voters
AL,SurveyUSA,655,9/15/08,9/18/08,34,64,1.4,0.6,Live Phone,Registered Voters
AL,Rasmussen,500,9/21/08,9/24/08,39,60,0.7,0.3,Live Phone,Registered Voters
AL,Capital Survey,554,10/5/08,10/8/08,35,55,7,3,Live Phone,Registered Voters
AL,SurveyUSA,697,10/7/08,10/10/08,35,62,2.1,0.9,Live Phone,Registered Voters
AR,SurveyUSA,600,3/3/08,3/6/08,33,53,9.8,4.2,Live Phone,Registered Voters
AR,Rasmussen,500,5/12/08,5/15/08,33,57,7,3,Live Phone,Registered Voters
AR,Rasmussen,500,6/12/08,6/15/08,39,48,9.1,3.9,Live Phone,Registered Voters
AR,Rasmussen,500,7/14/08,7/17/08,37,47,11.2,4.8,Live Phone,Registered Voters
AR,American Research,600,9/20/08,9/23/08,41,53,4.2,1.8,Live Phone,Registered Voters
AR,Rasmussen,500,9/22/08,9/25/08,42,51,4.9,2.1,Live Phone,Registered Voters
AR,Rasmussen,500,10/25/08,10/28/08,44,54,1.4,0.6,Live Phone,Registered Voters
AR,American Research,600,10/29/08,11/1/08,44,51,3.5,1.5,Live Phone,Registered Voters
AZ,SurveyUSA,600,3/3/08,3/6/08,39,51,7,3,Live Phone,Registered Voters
